0,1,2,3,4,5,6
0.18,10.0,90.0,2.0,0.5,1.0,3356.3
49.91,50.0,180.0,1.0,0.5,1.0,3446.7
4.98,5.0,365.0,1.0,0.5,1.0,2414.2
0.09,5.0,90.0,2.0,0.5,1.0,2896.0
2.15,10.0,365.0,1.0,0.5,1.0,5386.4
0.05,5.0,180.0,2.0,0.5,1.0,3397.6
49.99,50.0,30.0,1.0,0.5,1.0,2780.9
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2533.7
49.82,50.0,365.0,1.0,0.5,1.0,1911.5
10.53,20.0,90.0,1.0,0.5,1.0,7352.8
45.87,50.0,90.0,1.0,0.5,1.0,2333.8
1.05,20.0,30.0,2.0,0.5,1.0,2409.7
36.63,50.0,365.0,1.0,0.5,1.0,3281.0
19.86,20.0,7.0,1.0,0.5,1.0,2197.6
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2056.4
4.99,5.0,180.0,1.0,0.5,1.0,2113.8
14.65,20.0,365.0,1.0,0.5,1.0,3142.5
0.96,5.0,7.0,2.0,0.5,1.0,2720.0
0.02,5.0,365.0,2.0,0.5,1.0,2032.3
49.65,50.0,7.0,1.0,0.5,1.0,1972.8
18.69,20.0,7.0,2.0,0.5,1.0,4648.8
2.63,50.0,30.0,2.0,0.5,1.0,2318.8
4.59,5.0,90.0,1.0,0.5,1.0,2543.2
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2200.6
9.96,10.0,365.0,1.0,0.5,1.0,2223.8
0.05,10.0,365.0,2.0,0.5,1.0,1862.3
49.99,50.0,7.0,1.0,0.5,1.0,1618.0
4.99,5.0,90.0,1.0,0.5,1.0,2192.0
3.57,10.0,180.0,1.0,0.5,1.0,4749.7
7.33,10.0,365.0,1.0,0.5,1.0,2486.9
15.38,20.0,30.0,1.0,0.5,1.0,3753.8
16.95,20.0,180.0,1.0,0.5,1.0,2563.9
2.63,5.0,90.0,1.0,0.5,1.0,2664.4
4.3,20.0,365.0,1.0,0.5,1.0,4801.2
4.99,5.0,7.0,1.0,0.5,1.0,2714.7
0.36,20.0,90.0,2.0,0.5,1.0,1783.2
46.730000000000004,50.0,7.0,1.0,0.5,1.0,6193.5
49.96,50.0,90.0,1.0,0.5,1.0,2535.4
0.26,5.0,30.0,2.0,0.5,1.0,1775.8
17.86,50.0,180.0,2.0,0.5,1.0,3528.5
19.93,20.0,365.0,1.0,0.5,1.0,1805.6
5.26,10.0,90.0,1.0,0.5,1.0,4281.8
1.79,5.0,180.0,1.0,0.5,1.0,5813.7
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2585.9
48.54,50.0,30.0,1.0,0.5,1.0,1935.0
1.92,10.0,7.0,2.0,0.5,1.0,2159.6
9.98,10.0,180.0,1.0,0.5,1.0,2042.2
0.91,50.0,90.0,2.0,0.5,1.0,1478.2
0.23,50.0,365.0,2.0,0.5,1.0,1674.9
4.24,5.0,180.0,1.0,0.5,1.0,1553.6
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1326.5
9.99,10.0,90.0,1.0,0.5,1.0,1028.3
0.09,20.0,365.0,2.0,0.5,1.0,1754.2
0.46,50.0,180.0,2.0,0.5,1.0,1790.9
0.53,10.0,30.0,2.0,0.5,1.0,1422.4
0.18,20.0,180.0,2.0,0.5,1.0,1360.7
4.99,5.0,30.0,1.0,0.5,1.0,1872.3
9.62,50.0,7.0,1.0,0.5,1.0,2232.5
19.99,20.0,7.0,1.0,0.5,1.0,3618.0
4.67,5.0,7.0,1.0,0.5,1.0,2245.3
7.14,20.0,180.0,1.0,0.5,1.0,5177.9
9.99,10.0,7.0,1.0,0.5,1.0,1958.2
0.09,10.0,180.0,2.0,0.5,1.0,1632.3
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2001.6
9.350000000000001,10.0,7.0,1.0,0.5,1.0,2469.3
8.47,10.0,180.0,1.0,0.5,1.0,2184.5
3.66,5.0,365.0,1.0,0.5,1.0,1904.1
9.99,10.0,30.0,1.0,0.5,1.0,1183.3
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1001.4
42.37,50.0,180.0,1.0,0.5,1.0,1624.9
19.99,20.0,30.0,1.0,0.5,1.0,967.8
4.85,5.0,30.0,1.0,0.5,1.0,1143.9
9.93,10.0,7.0,1.0,0.5,1.0,2751.1
18.35,20.0,90.0,1.0,0.5,1.0,1666.1
38.46,50.0,30.0,2.0,0.5,1.0,7807.3
26.32,50.0,90.0,1.0,0.5,1.0,2136.6
19.979999999999997,20.0,90.0,1.0,0.5,1.0,2204.7
10.75,50.0,365.0,2.0,0.5,1.0,1655.9
1.08,5.0,365.0,1.0,0.5,1.0,3785.3
9.17,10.0,90.0,1.0,0.5,1.0,2365.3
